BioRep,Genotype,DCQ,DCQFC,DDCQFC
1,G19833,6.36409679,0.012139924,23.65186881
2,G19833,5.99555196,0.015673249,30.53574417
3,G19833,6.41092678,0.011752188,22.89645412
4,G19833,5.90033361,0.016742588,32.61910859
5,G19833,6.23552702,0.013271479,25.85644529
6,G19833,6.58696584,0.010402212,20.26633391
1,PI638858,10.92797907,0.000513275,1
2,PI638858,9.91500919,0.001035821,2.018061125
3,PI638858,10.1522369,0.000878764,1.712070558
4,PI638858,9.55692812,0.001327633,2.586589204
5,PI638858,9.18373606,0.00171957,3.350190193
6,PI638858,7.97875204,0.003964207,7.72335146
1,C4,7.27344724,0.006463596,12.59284043
2,C4,7.14213079,0.00707953,13.79284609
3,C4,7.1241252,0.007168439,13.96606668
1,C5,9.64071954,0.001252721,2.44064003
2,C5,8.77009474,0.002290543,4.462599458
3,C5,9.71271383,0.001191741,2.321834656
