,well,luminescence,promoter,biological_replicate,date_tested
1,A1,12589,G19,Replicate 3,24-Jul
2,A10,4752,255,Replicate 4,24-Jul
3,A11,119474,35_S,Replicate 4,24-Jul
4,A12,148,EV,Replicate 4,24-Jul
5,A2,9392,G19,Replicate 3,24-Jul
6,A3,11931,255,Replicate 3,24-Jul
7,A4,16708,255,Replicate 3,24-Jul
8,A5,116295,35_S,Replicate 3,24-Jul
9,A6,147,EV,Replicate 3,24-Jul
10,A7,6026,G19,Replicate 4,24-Jul
11,A8,11378,G19,Replicate 4,24-Jul
12,A9,9671,255,Replicate 4,24-Jul
13,B1,11668,G19,Replicate 3,24-Jul
14,B10,7000,255,Replicate 4,24-Jul
15,B11,108315,35_S,Replicate 4,24-Jul
16,B12,162,EV,Replicate 4,24-Jul
17,B2,13812,G19,Replicate 3,24-Jul
18,B3,17515,255,Replicate 3,24-Jul
19,B4,16452,255,Replicate 3,24-Jul
20,B5,111432,35_S,Replicate 3,24-Jul
21,B6,149,EV,Replicate 3,24-Jul
22,B7,5844,G19,Replicate 4,24-Jul
23,B8,8414,G19,Replicate 4,24-Jul
24,B9,8383,255,Replicate 4,24-Jul
25,C1,11789,G19,Replicate 3,24-Jul
26,C10,5611,255,Replicate 4,24-Jul
27,C11,102467,35_S,Replicate 4,24-Jul
28,C12,136,EV,Replicate 4,24-Jul
29,C2,13939,G19,Replicate 3,24-Jul
30,C3,10668,255,Replicate 3,24-Jul
31,C4,13657,255,Replicate 3,24-Jul
32,C5,142563,35_S,Replicate 3,24-Jul
33,C6,120,EV,Replicate 3,24-Jul
34,C7,5564,G19,Replicate 4,24-Jul
35,C8,6979,G19,Replicate 4,24-Jul
36,C9,12750,255,Replicate 4,24-Jul
37,D1,12318,G19,Replicate 3,24-Jul
38,D10,11753,255,Replicate 4,24-Jul
39,D11,135569,35_S,Replicate 4,24-Jul
40,D12,130,EV,Replicate 4,24-Jul
41,D2,11214,G19,Replicate 3,24-Jul
42,D3,13490,255,Replicate 3,24-Jul
43,D4,11385,255,Replicate 3,24-Jul
44,D5,144161,35_S,Replicate 3,24-Jul
45,D6,131,EV,Replicate 3,24-Jul
46,D7,7585,G19,Replicate 4,24-Jul
47,D8,8245,G19,Replicate 4,24-Jul
48,D9,9944,255,Replicate 4,24-Jul
49,E1,15225,G19,Replicate 3,24-Jul
50,E10,6994,255,Replicate 4,24-Jul
51,E2,11195,G19,Replicate 3,24-Jul
52,E3,13839,255,Replicate 3,24-Jul
53,E4,15116,255,Replicate 3,24-Jul
54,E7,6101,G19,Replicate 4,24-Jul
55,E8,5045,G19,Replicate 4,24-Jul
56,E9,10721,255,Replicate 4,24-Jul
57,F1,23672,G19,Replicate 3,24-Jul
58,F10,6459,255,Replicate 4,24-Jul
59,F2,15311,G19,Replicate 3,24-Jul
60,F3,17544,255,Replicate 3,24-Jul
61,F4,14551,255,Replicate 3,24-Jul
62,F7,6657,G19,Replicate 4,24-Jul
63,F8,5192,G19,Replicate 4,24-Jul
64,F9,9482,255,Replicate 4,24-Jul
65,G1,13459,G19,Replicate 3,24-Jul
66,G10,11872,255,Replicate 4,24-Jul
67,G2,9645,G19,Replicate 3,24-Jul
68,G3,13856,255,Replicate 3,24-Jul
69,G4,18658,255,Replicate 3,24-Jul
70,G7,7519,G19,Replicate 4,24-Jul
71,G8,6961,G19,Replicate 4,24-Jul
72,G9,12176,255,Replicate 4,24-Jul
73,H1,11984,G19,Replicate 3,24-Jul
74,H10,7150,255,Replicate 4,24-Jul
75,H2,7915,G19,Replicate 3,24-Jul
76,H3,21776,255,Replicate 3,24-Jul
77,H4,12971,255,Replicate 3,24-Jul
78,H7,11014,G19,Replicate 4,24-Jul
79,H8,9164,G19,Replicate 4,24-Jul
80,H9,9439,255,Replicate 4,24-Jul
