,well,luminescence,promoter,biological_replicate,date_tested
1,A1,22314,249,Replicate 1,31-Jul
2,A10,25518,G19,Replicate 2,31-Jul
3,A11,27301,253,Replicate 2,31-Jul
4,A12,17308,255,Replicate 2,31-Jul
5,A2,22488,256,Replicate 1,31-Jul
6,A3,11762,G19,Replicate 1,31-Jul
7,A4,86923,35_S,Replicate 1,31-Jul
8,A5,384,EV,NA,31-Jul
9,A6,13893,253,Replicate 1,31-Jul
10,A7,10724,255,Replicate 1,31-Jul
11,A8,53594,249,Replicate 2,31-Jul
12,A9,51974,256,Replicate 2,31-Jul
13,B1,22634,249,Replicate 1,31-Jul
14,B10,17326,G19,Replicate 2,31-Jul
15,B11,27464,253,Replicate 2,31-Jul
16,B12,18209,255,Replicate 2,31-Jul
17,B2,32611,256,Replicate 1,31-Jul
18,B3,13799,G19,Replicate 1,31-Jul
19,B4,58117,35_S,Replicate 1,31-Jul
20,B5,295,EV,NA,31-Jul
21,B6,18049,253,Replicate 1,31-Jul
22,B7,13384,255,Replicate 1,31-Jul
23,B8,47399,249,Replicate 2,31-Jul
24,B9,33996,256,Replicate 2,31-Jul
25,C1,15383,249,Replicate 1,31-Jul
26,C10,22712,G19,Replicate 2,31-Jul
27,C11,40173,253,Replicate 2,31-Jul
28,C12,17910,255,Replicate 2,31-Jul
29,C2,20079,256,Replicate 1,31-Jul
30,C3,13911,G19,Replicate 2,31-Jul
31,C4,95484,35_S,Replicate 2,31-Jul
32,C5,207,EV,NA,31-Jul
33,C6,16353,253,Replicate 1,31-Jul
34,C7,10929,255,Replicate 1,31-Jul
35,C8,51420,249,Replicate 2,31-Jul
36,C9,30779,256,Replicate 2,31-Jul
37,D1,24849,249,Replicate 1,31-Jul
38,D10,36929,G19,Replicate 2,31-Jul
39,D11,41262,253,Replicate 2,31-Jul
40,D12,25324,255,Replicate 2,31-Jul
41,D2,18501,256,Replicate 1,31-Jul
42,D3,9388,G19,Replicate 2,31-Jul
43,D4,237965,35_S,Replicate 2,31-Jul
44,D5,172,EV,NA,31-Jul
45,D6,13785,253,Replicate 1,31-Jul
46,D7,13862,255,Replicate 1,31-Jul
47,D8,58223,249,Replicate 2,31-Jul
48,D9,40489,256,Replicate 2,31-Jul
49,E1,41400,249,Replicate 3,31-Jul
50,E10,16263,G19,Replicate 4,31-Jul
51,E11,16226,253,Replicate 4,31-Jul
52,E12,17480,255,Replicate 4,31-Jul
53,E2,21825,256,Replicate 3,31-Jul
54,E3,18807,G19,Replicate 3,31-Jul
55,E4,92086,35_S,Replicate 3,31-Jul
56,E5,475,EV,NA,31-Jul
57,E6,16270,253,Replicate 3,31-Jul
58,E7,16231,255,Replicate 3,31-Jul
59,E8,47642,249,Replicate 4,31-Jul
60,E9,28326,256,Replicate 4,31-Jul
61,F1,44236,249,Replicate 3,31-Jul
62,F10,21936,G19,Replicate 4,31-Jul
63,F11,21008,253,Replicate 4,31-Jul
64,F12,19740,255,Replicate 4,31-Jul
65,F2,26712,256,Replicate 3,31-Jul
66,F3,20428,G19,Replicate 3,31-Jul
67,F4,110854,35_S,Replicate 3,31-Jul
68,F5,337,EV,NA,31-Jul
69,F6,13473,253,Replicate 3,31-Jul
70,F7,19768,255,Replicate 3,31-Jul
71,F8,45246,249,Replicate 4,31-Jul
72,F9,30687,256,Replicate 4,31-Jul
73,G1,42993,249,Replicate 3,31-Jul
74,G10,20943,G19,Replicate 4,31-Jul
75,G11,14056,253,Replicate 4,31-Jul
76,G12,16916,255,Replicate 4,31-Jul
77,G2,44187,256,Replicate 3,31-Jul
78,G3,17915,G19,Replicate 4,31-Jul
79,G4,120893,35_S,Replicate 4,31-Jul
80,G5,480,EV,NA,31-Jul
81,G6,19493,253,Replicate 3,31-Jul
82,G7,14989,255,Replicate 3,31-Jul
83,G8,44362,249,Replicate 4,31-Jul
84,G9,20463,256,Replicate 4,31-Jul
85,H1,43328,249,Replicate 3,31-Jul
86,H10,14773,G19,Replicate 4,31-Jul
87,H11,35811,253,Replicate 4,31-Jul
88,H12,12207,255,Replicate 4,31-Jul
89,H2,37153,256,Replicate 3,31-Jul
90,H3,35185,G19,Replicate 4,31-Jul
91,H4,251874,35_S,Replicate 4,31-Jul
92,H5,191,EV,NA,31-Jul
93,H6,20506,253,Replicate 3,31-Jul
94,H7,19754,255,Replicate 3,31-Jul
95,H8,60651,249,Replicate 4,31-Jul
96,H9,32338,256,Replicate 4,31-Jul
