Sample,Accession,DDCQ
G19,G19833,10.97
G19,G19833,7.16
G19,G19833,14.52
G19,G19833,12.95
249,PI 638852,7.88
249,PI 638852,14.37
249,PI 638852,21.04
256,W6 17024,5.54
256,W6 17024,5.21
256,W6 17024,4.13
256,W6 17024,15.73
260,PI 638856,2.84
260,PI 638856,9.55
260,PI 638856,11.84
260,PI 638856,16.56
253,PI 661803,3.04
253,PI 661803,7.34
253,PI 661803,2.23
253,PI 661803,3.01
255,PI 638858,3.85
255,PI 638858,1.35
255,PI 638858,4.36
255,PI 638858,1.00
263,W6 17019,3.75
263,W6 17019,4.06
263,W6 17019,1.80
263,W6 17019,5.03
